,Name,Episodes,Release,Members,Score
3738,Shinka no Mi: Shiranai Uchi ni Kachigumi Jinsei,12,Oct 2021 - Dec 2021,198137,6.2
1520,Kyoro-chan,91,Jul 1999 - Mar 2001,2952,7.24
4610,Yodel no Onna,6,Sep 2017 - Aug 2019,1455,5.13
639,Tegamibachi Reverse,25,Oct 2010 - Mar 2011,63456,7.72
3329,Shin Chuuka Ichiban!,12,Oct 2019 - Dec 2019,11730,6.43
4341,Lemon Angel (1988/II),8,Jul 1988 - Sep 1988,1687,5.69
3357,Kagewani: Shou,13,Apr 2016 - Jun 2016,18952,6.41
2745,Princess Lover!,12,Jul 2009 - Sep 2009,226443,6.68
2788,Night Wizard,13,Oct 2007 - Dec 2007,36495,6.66
218,Shoujo Shuumatsu Ryokou,12,Oct 2017 - Dec 2017,337484,8.21
394,Dragon Ball,153,Feb 1986 - Apr 1989,1023223,7.96
4014,Lei Su Deng Shandian Chong Xian 3,40,Nov 2012 -,354,6.0
2477,100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season,12,Jul 2021 - Sep 2021,158529,6.8
2240,Wonder 3,52,Jun 1965 - Jun 1966,1234,6.92
1950,Pokonyan!,170,Apr 1993 - Mar 1996,1135,7.06
3762,Kappa no Kaikata,26,Oct 2004 - Apr 2005,2277,6.18
1687,Lady Georgie,45,Apr 1983 - Feb 1984,10480,7.17
56,Made in Abyss: Retsujitsu no Ougonkyou,12,Jul 2022 - Sep 2022,426401,8.64
2677,Choujuu Kishin Dancougar,38,Apr 1985 - Dec 1985,5540,6.71
3349,Huckleberry Finn Monogatari,26,Aug 1994 - Mar 1995,1982,6.42
1052,Joshiraku,13,Jul 2012 - Sep 2012,176890,7.45
1417,Edomae Elf,12,Apr 2023 - Jun 2023,57315,7.28
3752,Yami Shibai 6,13,Jul 2018 - Sep 2018,21807,6.19
3446,Ketsuekigata-kun! 2,12,Jan 2015 - Mar 2015,5199,6.37
2196,Gekitou! Crush Gear Turbo,68,Oct 2001 - Jan 2003,6885,6.95
365,Tokyo Magnitude 8.0,11,Jul 2009 - Sep 2009,295434,8.01
2248,Ryuusei no Rockman Tribe,21,Nov 2007 - Mar 2008,6706,6.92
663,Ani ni Tsukeru Kusuri wa Nai! 3,12,Oct 2019 - Dec 2019,38644,7.69
3820,Majutsushi Orphen Hagure Tabi: Urbanrama-hen,12,Jan 2023 - Apr 2023,15027,6.14
3295,Ashita e Free Kick,52,Apr 1992 - Apr 1993,2269,6.44
1969,Street Fighter II V,29,Apr 1995 - Nov 1995,27494,7.05
3007,Hakugei Densetsu,26,Apr 1997 - May 1999,4828,6.57
4166,Natsunagu!,12,Jan 2020 - Mar 2020,23929,5.87
874,Wakakusa Monogatari: Nan to Jo-sensei,40,Jan 1993 - Dec 1993,6621,7.55
1858,Minami no Niji no Lucy,50,Jan 1982 - Dec 1982,2715,7.1
3670,Level 1 dakedo Unique Skill de Saikyou desu,12,Jul 2023 - Sep 2023,99629,6.24
2801,Esper Mami,119,Apr 1987 - Oct 1989,2373,6.66
1084,SSSS.Dynazenon,12,Apr 2021 - Jun 2021,128346,7.43
2607,Future Card Buddyfight Battsu: All-Star Fight,8,Apr 2018 - May 2018,2483,6.74
3136,"Kono Naka ni Hitori, Imouto ga Iru!",12,Jul 2012 - Sep 2012,210409,6.51
830,Romeo x Juliet,24,Apr 2007 - Sep 2007,182704,7.58
2226,Shaman King: Flowers,13,Jan 2024 -,24695,6.93
736,Gakuen Alice,26,Oct 2004 - May 2005,99257,7.64
4493,Oniku Daisuki! Zeushi-kun,12,Jan 2014 - Mar 2014,630,5.46
913,Nobunaga Concerto,10,Jul 2014 - Sep 2014,58904,7.53
1836,Kenkou Zenrakei Suiei-bu Umishou,13,Jul 2007 - Sep 2007,39087,7.11
4285,Yami Shibai 11,13,Jul 2023 - Oct 2023,5972,5.77
3872,Non-tan to Issho,263,Oct 1992 - Mar 1994,492,6.11
4180,Pikaia!,13,Apr 2015 - Jul 2015,1446,5.85
2018,MM!,12,Oct 2010 - Dec 2010,235528,7.03
3432,Chouja Raideen,38,Oct 1996 - Jun 1997,2520,6.37
1529,Kaiketsu Zorro,52,Apr 1996 - Apr 1997,12211,7.23
2187,Shin Maple Town Monogatari: Palm Town-hen,50,Jan 1987 - Dec 1987,1978,6.95
1916,The God of High School,13,Jul 2020 - Sep 2020,895674,7.07
3430,B-Legend! Battle B-Daman Fire Spirits!,51,Jan 2005 - Dec 2005,5158,6.37
4566,Minarai Diva,10,Jul 2014 - Sep 2014,1941,5.31
615,Dragon Ball Kai,97,Apr 2009 - Mar 2011,385362,7.74
1615,Darling in the FranXX,24,Jan 2018 - Jul 2018,1622269,7.2
2072,Magic-Kyun! Renaissance,13,Oct 2016 - Dec 2016,56273,7.01
1878,Chicchana Yukitsukai Sugar,24,Oct 2001 - Mar 2002,23858,7.09
612,Mujin Wakusei Survive,52,Oct 2003 - Oct 2004,29757,7.74
1793,Tonkatsu DJ Agetarou,12,Apr 2016 - Jun 2016,14236,7.13
4228,Bamboo Bears,52,Apr 1997 - Mar 1998,888,5.82
2171,To Be Hero,12,Oct 2016 - Dec 2016,63131,6.96
3260,Miracle☆Train: Oedo-sen e Youkoso,13,Oct 2009 - Dec 2009,19347,6.46
4456,Anisava,13,Aug 2013 - Jan 2014,849,5.52
4232,Ikimono-san,12,Jul 2023 - Sep 2023,996,5.82
1421,Helck,24,Jul 2023 - Dec 2023,84331,7.28
4077,Balala Xiao Mo Xian Zhi: Feiyue Cai Ling Bao,26,Nov 2016 - Dec 2016,1038,5.95
2420,Devils Line,12,Apr 2018 - Jun 2018,266200,6.83
2670,Makai Senki Disgaea,12,Apr 2006 - Jun 2006,44009,6.71
3661,Ningen Kousaten,13,Apr 2003 - Jun 2003,4128,6.25
440,Overlord,13,Jul 2015 - Sep 2015,1567952,7.91
2732,Teekyuu 2,12,Jul 2013 - Sep 2013,31516,6.69
4262,Baku Tech! Bakugan Gachi,39,Apr 2013 - Dec 2013,2238,5.79
187,Yuru Camp△,12,Jan 2018 - Mar 2018,479651,8.27
1009,Little Busters!,26,Oct 2012 - Apr 2013,290138,7.48
312,Kanata no Astra,12,Jul 2019 - Sep 2019,298234,8.08
3471,Touma Kishinden Oni,25,Oct 1995 - Mar 1996,1176,6.35
1127,Seijo no Maryoku wa Bannou desu Season 2,12,Oct 2023 - Dec 2023,70158,7.42
1721,Saikyou Onmyouji no Isekai Tenseiki,13,Jan 2023 - Apr 2023,191725,7.16
3064,Ai no Gakkou Cuore Monogatari,26,Apr 1981 - Sep 1981,2573,6.54
1688,Love Stage!!,10,Jul 2014 - Sep 2014,258798,7.17
3011,Sonic X,78,Apr 2003 - Mar 2004,79398,6.57
322,Yowamushi Pedal: Grande Road,24,Oct 2014 - Mar 2015,138752,8.06
3165,To Heart 2,13,Oct 2005 - Jan 2006,21246,6.51
1462,Cyborg 009: The Cyborg Soldier,50,Oct 2001 - Aug 2003,33820,7.26
686,Tokyo Revengers: Seiya Kessen-hen,13,Jan 2023 - Apr 2023,337043,7.68
4593,Chou Futsuu Ken Chiba Densetsu,,Jan 2024 -,4260,5.19
1658,Date A Live III,12,Jan 2019 - Mar 2019,386419,7.18
2423,Ikkyuu-san,296,Oct 1975 - Jun 1982,2414,6.83
307,Fumetsu no Anata e Season 2,20,Oct 2022 - Mar 2023,267351,8.08
3728,Huckleberry no Bouken,26,Jan 1976 - Jun 1976,2051,6.21
817,Tensura Nikki: Tensei shitara Slime Datta Ken,12,Apr 2021 - Jun 2021,329399,7.59
572,Ginga Eiyuu Densetsu: Die Neue These - Kaikou,12,Apr 2018 - Jun 2018,84840,7.77
3636,Tentoumushi no Uta,104,Oct 1974 - Sep 1976,951,6.27
3700,Groizer X,36,Jul 1976 - Mar 1977,1130,6.23
4679,Glamorous Heroes,10,Oct 2017 - Dec 2017,5400,4.27
4288,Koi Koi 7,13,Apr 2005 - Jun 2005,16548,5.76
4158,Haitai Nanafa,13,Oct 2012 - Dec 2012,11094,5.88
2568,Mahou Shoujo Lyrical Nanoha ViVid,12,Apr 2015 - Jun 2015,26208,6.75
1774,Mahoromatic: Automatic Maiden,12,Oct 2001 - Dec 2001,63450,7.14
2155,Makiba no Shoujo Katri,49,Jan 1984 - Dec 1984,4103,6.96
3783,Magical Nyan Nyan Taruto,12,Jul 2001 - Sep 2001,7678,6.17
2968,Akai Koudan Zillion,31,Apr 1987 - Dec 1987,5730,6.58
814,Chuuka Ichiban!,52,Apr 1997 - Sep 1998,19905,7.59
4572,Virtual-san wa Miteiru,12,Jan 2019 - Mar 2019,8736,5.29
1957,Midori no Makibao,61,Mar 1996 - Jul 1997,2179,7.05
2383,Isekai Maou to Shoukan Shoujo no Dorei Majutsu,12,Jul 2018 - Sep 2018,713763,6.85
1021,Akame ga Kill!,24,Jul 2014 - Dec 2014,2060936,7.47
1970,Tokyo Majin Gakuen Kenpucho: Tou,14,Jan 2007 - Apr 2007,94027,7.05
2648,Cardfight!! Vanguard (2018),52,May 2018 - May 2019,13068,6.72
