,Name,Episodes,Release,Members,Score
1302,Tetsujin 28-gou (2004),26,Apr 2004 - Sep 2004,5563,7.33
576,Kidou Senshi Gundam,43,Apr 1979 - Jan 1980,131949,7.77
1689,Mermaid Melody Pichi Pichi Pitch,52,Apr 2003 - Mar 2004,80473,7.17
4563,Cream Lemon: Lemon Angel,37,Oct 1987 - Dec 1987,4386,5.32
3692,Shikkakumon no Saikyou Kenja,12,Jan 2022 - Mar 2022,238338,6.23
1102,Houkago Teibou Nisshi,12,Apr 2020 - Sep 2020,63295,7.43
2666,Kibou no Chikara: Otona Precure '23,12,Oct 2023 - Dec 2023,6913,6.71
3960,DD Hokuto no Ken,12,Jan 2011 - Apr 2011,5084,6.04
3686,Larva 2nd Season,52,Jan 2013 - Sep 2013,1523,6.23
1806,Ace wo Nerae!,26,Oct 1973 - Mar 1974,13442,7.13
4632,Kinniku Banzuke: Kongou-kun no Daibouken!,3,Jul 2001 - Aug 2001,804,4.97
1438,Koutetsujou no Kabaneri,12,Apr 2016 - Jul 2016,805046,7.27
1867,Alice to Zouroku,12,Apr 2017 - Jun 2017,117771,7.1
3092,PetoPeto-san,13,Jul 2005 - Oct 2005,7177,6.53
3585,Ore dake Haireru Kakushi Dungeon,12,Jan 2021 - Mar 2021,376750,6.29
3243,Ginga Hyouryuu Vifam 13,26,Mar 1998 - Oct 1998,833,6.47
3477,Fairy Gone Part 2,12,Oct 2019 - Dec 2019,47859,6.35
1194,NG Knight Ramune & 40,38,Apr 1990 - Jan 1991,3971,7.38
2008,Soredemo Ayumu wa Yosetekuru,12,Jul 2022 - Sep 2022,158495,7.03
762,Shingeki no Bahamut: Genesis,12,Oct 2014 - Dec 2014,410381,7.62
136,Baccano!,13,Jul 2007 - Nov 2007,898457,8.36
2960,Andes Shounen Pepero no Bouken,26,Oct 1975 - Mar 1976,1213,6.59
140,Shinseiki Evangelion,26,Oct 1995 - Mar 1996,1788970,8.35
415,Mawaru Penguindrum,24,Jul 2011 - Dec 2011,298288,7.94
2388,Micchiri Neko,39,Jan 2018 - Mar 2018,8669,6.85
180,Dr. Stone,24,Jul 2019 - Dec 2019,1707885,8.28
4246,Alice Gear Aegis Expansion,12,Apr 2023 - Jun 2023,9297,5.81
2641,Shinkansen Henkei Robo Shinkalion The Animation,76,Jan 2018 - Jun 2019,4145,6.73
1823,Metallic Rouge,,Jan 2024 -,65212,7.12
3049,Mitsubachi Maya no Bouken,52,Apr 1975 - Apr 1976,9951,6.55
1273,Yuyushiki,12,Apr 2013 - Jun 2013,107690,7.35
1990,Seisenshi Dunbine,49,Feb 1983 - Jan 1984,13148,7.04
2425,Jewelpet Sunshine,52,Apr 2011 - Mar 2012,5418,6.83
1991,Sekai Seifuku: Bouryaku no Zvezda,12,Jan 2014 - Mar 2014,144888,7.04
3799,Kagaku Kyuujo-tai TechnoVoyager,18,Apr 1982 - Sep 1982,1348,6.16
4465,Agigongryong Doolie (1988),7,May 1988 - May 1988,503,5.5
2185,Orenchi no Furo Jijou,13,Oct 2014 - Dec 2014,113113,6.95
1363,Onihei,13,Jan 2017 - Apr 2017,40204,7.3
164,Ookami to Koushinryou II,12,Jul 2009 - Sep 2009,487106,8.31
2436,Hana no Mahoutsukai Mary Bell,50,Feb 1992 - Jan 1993,3158,6.82
1207,Sunabouzu,24,Oct 2004 - Mar 2005,138489,7.38
1650,Druaga no Tou: The Sword of Uruk,12,Jan 2009 - Mar 2009,74869,7.19
985,Owari no Seraph,12,Apr 2015 - Jun 2015,1318033,7.49
3201,Time Travel Shoujo: Mari Waka to 8-nin no Kagakusha-tachi,12,Jul 2016 - Sep 2016,16587,6.49
4222,Mazica Party,51,Apr 2021 - Mar 2022,1641,5.82
286,Diamond no Ace,75,Oct 2013 - Mar 2015,242248,8.11
3289,Oroka na Tenshi wa Akuma to Odoru,12,Jan 2024 -,56156,6.44
408,Noragami,12,Jan 2014 - Mar 2014,2136691,7.95
1547,Just Because!,12,Oct 2017 - Dec 2017,303825,7.23
1956,Mashin Eiyuuden Wataru,45,Apr 1988 - Mar 1989,3102,7.05
691,Tsurune: Kazemai Koukou Kyuudou-bu,13,Oct 2018 - Jan 2019,158388,7.67
4071,Shinshaku Sengoku Eiyuu Densetsu: Sanada Juu Yuushi The Animation,12,May 2005 - Jul 2005,1795,5.96
3075,Shuffle! Memories,12,Jan 2007 - Mar 2007,55734,6.53
3249,Gegege no Kitarou (1985),108,Oct 1985 - Feb 1988,2611,6.46
3812,Green Green,12,Jul 2003 - Sep 2003,117091,6.15
1756,Kuruneko,50,Jul 2009 - Jun 2010,4964,7.15
687,Shoujo☆Kageki Revue Starlight,12,Jul 2018 - Sep 2018,86064,7.67
1396,Kiba,51,Apr 2006 - Mar 2007,78175,7.28
2195,Ensemble Stars!,24,Jul 2019 - Dec 2019,47733,6.95
1673,Mainichi Kaasan,142,Apr 2009 - Mar 2012,3202,7.18
3107,Juuni Taisen,12,Oct 2017 - Dec 2017,288131,6.53
1746,Takt Op. Destiny,12,Oct 2021 - Dec 2021,500700,7.15
3190,Captain (TV),26,Jan 1983 - Jul 1983,928,6.49
392,Durarara!!x2 Ten,12,Jul 2015 - Sep 2015,392708,7.97
1403,Pokemon Diamond & Pearl,191,Sep 2006 - Sep 2010,145945,7.28
530,Tentai Senshi Sunred 2nd Season,26,Oct 2009 - Mar 2010,8052,7.82
3841,Lovedol: Lovely Idol,12,Oct 2006 - Dec 2006,8692,6.13
207,Tanoshii Muumin Ikka,78,Apr 1990 - Oct 1991,27053,8.23
1244,Karakuri Zoushi Ayatsuri Sakon,26,Oct 1999 - Mar 2000,12060,7.36
3437,Hataraku Oniisan!,12,Jan 2018 - Mar 2018,8530,6.37
2645,Shin Minashigo Hutch,26,Apr 1974 - Sep 1974,1142,6.72
223,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,13,Apr 2015 - Jun 2015,1049319,8.21
1832,Ryuugajou Nanana no Maizoukin,11,Apr 2014 - Jun 2014,237329,7.12
3819,Kaitei Shounen Marine,65,Jan 1969 - Sep 1971,899,6.14
4215,Yami Shibai 8,13,Jan 2021 - Apr 2021,15317,5.83
3326,Prism Ark,12,Oct 2007 - Dec 2007,22522,6.43
1243,Zoids,67,Sep 1999 - Dec 2000,49787,7.36
1348,High School Fleet,12,Apr 2016 - Jun 2016,104982,7.31
4372,Himote House,12,Oct 2018 - Dec 2018,17654,5.66
602,Higashi no Eden,11,Apr 2009 - Jun 2009,560818,7.75
491,Terra e... (TV),24,Apr 2007 - Sep 2007,61608,7.87
9,Kaguya-sama wa Kokurasetai: Ultra Romantic,13,Apr 2022 - Jun 2022,896876,9.02
4434,One Room,12,Jan 2017 - Mar 2017,126244,5.56
1016,Ling Qi 2,12,Feb 2018 - May 2018,47689,7.47
21,Kusuriya no Hitorigoto,24,Oct 2023 -,253268,8.81
1391,Starmyu 2nd Season,12,Apr 2017 - Jun 2017,16909,7.28
1507,Futari wa Precure: Splash☆Star,49,Feb 2006 - Jan 2007,13714,7.24
835,Fairy Tail: Final Series,51,Oct 2018 - Sep 2019,498852,7.58
1546,Inukami!,26,Apr 2006 - Sep 2006,69444,7.23
3169,Super Bikkuriman,44,May 1992 - Apr 1993,704,6.5
1388,Zoku Touken Ranbu: Hanamaru,12,Jan 2018 - Mar 2018,29473,7.29
4574,Yakusoku no Neverland 2nd Season,11,Jan 2021 - Mar 2021,912274,5.28
348,Dennou Coil,26,May 2007 - Dec 2007,146353,8.03
1329,Tiger Mask Nisei,33,Apr 1981 - Jan 1982,6418,7.32
262,Shokugeki no Souma,24,Apr 2015 - Sep 2015,1625657,8.15
459,Shirokuma Cafe,50,Apr 2012 - Mar 2013,94082,7.9
3416,Tenkai Knights,52,Apr 2014 - Mar 2015,5083,6.38
1776,Mouretsu Pirates,26,Jan 2012 - Jul 2012,74220,7.14
1743,Fantasy Bishoujo Juniku Ojisan to,12,Jan 2022 - Mar 2022,167738,7.15
92,One Punch Man,12,Oct 2015 - Dec 2015,3168100,8.5
2780,Shenmue the Animation,13,Feb 2022 - May 2022,21681,6.67
4129,Sugar Bunnies Chocolate!,26,Apr 2008 - Sep 2008,791,5.9
1400,Mai-Otome,26,Oct 2005 - Mar 2006,51167,7.28
1098,Chouyaku Hyakuninisshu: Uta Koi.,13,Jul 2012 - Sep 2012,29655,7.43
1960,Princess Connect! Re:Dive,13,Apr 2020 - Jun 2020,282085,7.05
1869,Bishounen Tanteidan,12,Apr 2021 - Jun 2021,99985,7.1
3708,Tabi Machi Late Show,4,Jan 2016 - Jan 2016,9457,6.22
979,Uchuusen Sagittarius,77,Jan 1986 - Oct 1987,1719,7.49
3240,Coppelion,13,Oct 2013 - Dec 2013,120300,6.47
3533,Dog Signal,20,Oct 2023 -,5400,6.32
2059,"Yuusha, Yamemasu",12,Apr 2022 - Jun 2022,287518,7.02
2762,Granbelm,13,Jul 2019 - Sep 2019,52894,6.67
1025,Grisaia no Kajitsu,13,Oct 2014 - Dec 2014,608956,7.47
2244,Maple Town Monogatari,52,Jan 1986 - Jan 1987,2958,6.92
1871,Hatenkou Yuugi,10,Jan 2008 - Mar 2008,37549,7.1
4201,Muteking the Dancing Hero,12,Oct 2021 - Dec 2021,6279,5.84
69,Natsume Yuujinchou San,13,Jul 2011 - Sep 2011,249986,8.57
1265,Garo: Honoo no Kokuin,24,Oct 2014 - Mar 2015,143805,7.35
3588,"Shijou Saikyou no Daimaou, Murabito A ni Tensei suru",12,Apr 2022 - Jun 2022,269632,6.29
452,Undead Girl Murder Farce,13,Jul 2023 - Sep 2023,131756,7.9
2021,Ninkuu,55,Jan 1995 - Feb 1996,6945,7.03
2486,Brave Witches,12,Oct 2016 - Dec 2016,59331,6.79
4387,Two Car,12,Oct 2017 - Dec 2017,23192,5.64
2500,Lamune,12,Oct 2005 - Dec 2005,41589,6.79
1274,Suite Precure♪,48,Feb 2011 - Jan 2012,15989,7.34
2045,Futari wa Precure: Max Heart,47,Feb 2005 - Jan 2006,18990,7.02
88,Ousama Ranking,23,Oct 2021 - Mar 2022,623748,8.52
2137,Gleipnir,13,Apr 2020 - Jun 2020,481490,6.98
2134,Dance in the Vampire Bund,12,Jan 2010 - Apr 2010,228223,6.98
3469,Tokusou Kihei Dorvack,36,Oct 1983 - Jul 1984,1608,6.35
1855,Kemurikusa (TV),12,Jan 2019 - Mar 2019,31149,7.1
3029,Happy☆Lucky Bikkuriman,46,Oct 2006 - Sep 2007,613,6.56
4492,Mikan-Seijin,26,1992 - 1992,694,5.46
2413,Koneko no Chi: Ponponra Daibouken,51,Oct 2016 - Sep 2017,7309,6.83
1974,Starship Operators,13,Jan 2005 - Mar 2005,15840,7.04
2234,"Yuusha Party wo Tsuihou sareta Beast Tamer, Saikyoushu no Nekomimi Shoujo to Deau",13,Oct 2022 - Dec 2022,182455,6.93
1122,Koi wa Sekai Seifuku no Ato de,12,Apr 2022 - Jun 2022,225719,7.42
201,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,13,Oct 2018 - Dec 2018,1707476,8.24
2785,Medarot Damashii,39,Jul 2000 - Mar 2001,20382,6.66
4230,Gunma-chan,13,Oct 2021 - Dec 2021,865,5.82
3748,Infinite Dendrogram,13,Jan 2020 - Apr 2020,174902,6.19
3976,Oh! Super Milk-chan,12,Jan 2000 - Apr 2000,5717,6.03
4176,Choegang Habche: Mix Master,39,May 2010 - Mar 2011,886,5.86
3836,Dororonpa!,115,Apr 1991 - Sep 1991,670,6.13
972,Arslan Senki (TV): Fuujin Ranbu,8,Jul 2016 - Aug 2016,140882,7.5
1925,Knight's & Magic,13,Jul 2017 - Sep 2017,258894,7.07
2469,Silent Möbius,26,Apr 1998 - Sep 1998,15327,6.8
3311,Escha & Logy no Atelier: Tasogare no Sora no Renkinjutsushi,12,Apr 2014 - Jun 2014,62729,6.43
785,Fune wo Amu,11,Oct 2016 - Dec 2016,121636,7.61
866,Hime-chan no Ribbon,61,Oct 1992 - Dec 1993,9637,7.56
3475,Moero Arthur: Hakuba no Ouji,22,Apr 1980 - Sep 1980,1061,6.35
215,Great Pretender,23,Jul 2020 - Dec 2020,649088,8.22
2190,Anne Happy♪,12,Apr 2016 - Jun 2016,78749,6.95
3790,Juuou Mujin no Fafnir,12,Jan 2015 - Mar 2015,156332,6.17
4047,Twin Angel Break,12,Apr 2017 - Jun 2017,13472,5.98
1149,Itazura na Kiss,25,Apr 2008 - Sep 2008,280772,7.41
2450,Onegai☆Twins,12,Jul 2003 - Oct 2003,89153,6.82
3552,Kuma Miko,12,Apr 2016 - Jun 2016,74784,6.31
4633,"Neko mo, Onda-ke",12,Apr 2016 - Jun 2016,673,4.95
2590,Kyoto Teramachi Sanjou no Holmes,12,Jul 2018 - Sep 2018,64577,6.74
677,Princess Principal,12,Jul 2017 - Sep 2017,208600,7.68
119,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,12,Jan 2019 - Mar 2019,1706928,8.41
3744,Ippatsu Kiki Musume,16,Oct 1999 - Oct 1999,7414,6.2
444,Bishoujo Senshi Sailor Moon S,38,Mar 1994 - Feb 1995,145686,7.9
182,Shirobako,24,Oct 2014 - Mar 2015,441726,8.28
4271,Ultraviolet: Code 044,12,Jul 2008 - Sep 2008,7247,5.78
1605,Lv1 Maou to One Room Yuusha,12,Jul 2023 - Sep 2023,64447,7.2
980,Yu☆Gi☆Oh! Duel Monsters,224,Apr 2000 - Sep 2004,392857,7.49
1752,Yuuki Bakuhatsu Bang Bravern,12,Jan 2024 -,6886,7.15
122,Hunter x Hunter,62,Oct 1999 - Mar 2001,583507,8.41
3041,Uchuu Kuubo Blue Noah,24,Oct 1979 - Mar 1980,2103,6.55
458,Ore Monogatari!!,24,Apr 2015 - Sep 2015,667097,7.9
998,Donten ni Warau,12,Oct 2014 - Dec 2014,128023,7.48
4089,Grimms Notes The Animation,12,Jan 2019 - Mar 2019,43908,5.94
1946,Log Horizon: Entaku Houkai,12,Jan 2021 - Mar 2021,239599,7.06
163,NHK ni Youkoso!,24,Jul 2006 - Dec 2006,733819,8.31
2276,Rockman.EXE,56,Mar 2002 - Mar 2003,39236,6.91
854,Radiant 2nd Season,21,Oct 2019 - Feb 2020,108171,7.57
3362,Osomatsu-kun,56,Feb 1966 - Mar 1967,3706,6.41
1575,Darwin's Game,11,Jan 2020 - Mar 2020,549270,7.22
3766,Manga Nippon Mukashibanashi (1976),1471,Jan 1976 - Sep 1994,1596,6.18
3020,Android Ana Maico 2010,24,Apr 1998 - Sep 1998,3802,6.56
792,Free! Dive to the Future,12,Jul 2018 - Sep 2018,179044,7.6
3786,Shin Calimero,52,Oct 1992 - Sep 1993,2509,6.17
2138,Haiyore! Nyaruko-san,12,Apr 2012 - Jun 2012,353791,6.98
2781,Kekkon Yubiwa Monogatari,12,Jan 2024 -,58139,6.66
2113,Gakusen Toshi Asterisk 2nd Season,12,Apr 2016 - Jun 2016,431430,6.99
3413,Toaru Ossan no VRMMO Katsudouki,12,Oct 2023 - Dec 2023,59788,6.39
3457,Ojarumaru,,Oct 1998 -,2041,6.36
2955,Pure-tou no Nakama-tachi,26,Jul 1983 - Dec 1983,996,6.59
3153,Fate/Extra: Last Encore - Illustrias Tendousetsu,3,Jul 2018 - Jul 2018,73983,6.51
3664,Popotan,12,Jul 2003 - Oct 2003,24451,6.25
4347,Babel Nisei (2001),13,Oct 2001 - Dec 2001,3799,5.68
103,Yuu☆Yuu☆Hakusho,112,Oct 1992 - Jan 1995,679347,8.46
3094,Queen's Blade: Gyokuza wo Tsugu Mono,12,Sep 2009 - Dec 2009,54909,6.53
4219,Sengoku Choujuu Giga: Kou,13,Oct 2016 - Jan 2017,6317,5.83
4504,Kkoma Bus Tayo 3,26,Feb 2014 - May 2014,338,5.44
2239,UQ Holder! Mahou Sensei Negima! 2,12,Oct 2017 - Dec 2017,209074,6.92
83,Bakuman. 3rd Season,25,Oct 2012 - Mar 2013,327510,8.53
343,Kill la Kill,24,Oct 2013 - Mar 2014,1704108,8.03
1471,Uzaki-chan wa Asobitai! Double,13,Oct 2022 - Dec 2022,210637,7.25
683,Baka to Test to Shoukanjuu Ni!,13,Jul 2011 - Sep 2011,368957,7.68
3455,Massugu ni Ikou.,4,Aug 2003 - Aug 2003,4093,6.36
2886,Persona 4 the Golden Animation,12,Jul 2014 - Sep 2014,92070,6.62
45,Mushishi Zoku Shou,10,Apr 2014 - Jun 2014,296595,8.69
729,Nejimaki Seirei Senki: Tenkyou no Alderamin,13,Jul 2016 - Oct 2016,316003,7.64
3422,Chou Seimeitai Transformers Beast Wars Neo,35,Feb 1999 - Sep 1999,2764,6.38
2399,Hanebado!,13,Jul 2018 - Oct 2018,155646,6.84
3090,Onipan!,60,Apr 2022 - Jul 2022,14689,6.53
2817,Norimono Oukoku BuBu ChaCha,26,Apr 1999 - Nov 1999,963,6.65
648,Enen no Shouboutai,24,Jul 2019 - Dec 2019,1312063,7.71
4,Shingeki no Kyojin Season 3 Part 2,10,Apr 2019 - Jul 2019,2227792,9.05
2776,Panyo Panyo Di Gi Charat,48,Jan 2002 - Apr 2003,5854,6.67
179,Yuukoku no Moriarty Part 2,13,Apr 2021 - Jun 2021,245620,8.28
3856,5-Okunen Button,12,Jul 2022 - Sep 2022,721,6.12
2744,Oshiete Mahou no Pendulum: Rilu Rilu Fairilu,26,Jul 2018 - Jan 2019,1217,6.68
987,Air Gear,25,Apr 2006 - Sep 2006,350269,7.49
573,Heike Monogatari,11,Jan 2022 - Mar 2022,78396,7.78
3087,Monster Musume no Oishasan,12,Jul 2020 - Sep 2020,214627,6.53
3687,Live On Cardliver Kakeru,51,Oct 2008 - Sep 2009,1305,6.23
2483,Ai Tenshi Densetsu Wedding Peach,51,Apr 1995 - Mar 1996,23142,6.79
1963,Beyblade Burst God,51,Apr 2017 - Mar 2018,17998,7.05
883,Sakamoto desu ga?,12,Apr 2016 - Jul 2016,762081,7.55
3341,Bomberman B-Daman Bakugaiden Victory,50,Feb 1999 - Jan 2000,2098,6.42
1297,Healer Girl,12,Apr 2022 - Jun 2022,31828,7.33
3138,Merc Storia: Mukiryoku no Shounen to Bin no Naka no Shoujo,12,Oct 2018 - Dec 2018,30905,6.51
3860,Bokura no Ame-iro Protocol,12,Oct 2023 - Dec 2023,29875,6.12
4653,Ame-iro Cocoa Series: Ame-con!!,12,Oct 2017 - Dec 2017,5585,4.75
4352,Konna Watashitachi ga Nariyuki de Heroine ni Natta Kekka www (TV),12,Oct 2014 - Dec 2014,728,5.68
4221,Kyoufu! Zombie Neko,52,Oct 2015 - Sep 2016,1329,5.82
2800,Eat-Man '98,12,Oct 1998 - Dec 1998,6162,6.66
4132,Yami Shibai 9,13,Jul 2021 - Oct 2021,12114,5.9
321,Uma Musume: Pretty Derby Season 2,13,Jan 2021 - Mar 2021,49964,8.07
3899,Ultraman Kids: Haha wo Tazunete 3000-man Kounen,26,Nov 1991 - May 1992,838,6.09
2675,Renai Flops,12,Oct 2022 - Dec 2022,132593,6.71
3982,Bakumatsu Rock,12,Jul 2014 - Sep 2014,29830,6.03
3297,Baby Baachan,53,Apr 2002 - Dec 2002,1007,6.44
1785,Ixion Saga DT,25,Oct 2012 - Apr 2013,113435,7.14
4050,Nippon-ichi no Otoko no Tamashii,16,Jan 1999 - Jan 1999,1604,5.98
4349,Fuuun Ishin Dai☆Shogun,12,Apr 2014 - Jun 2014,27033,5.68
1493,Goblin Slayer II,12,Oct 2023 - Dec 2023,312955,7.25
320,Toradora!,25,Oct 2008 - Mar 2009,2179436,8.07
2891,Bananya: Fushigi na Nakama-tachi,13,Oct 2019 - Dec 2019,15688,6.62
229,Horimiya: Piece,13,Jul 2023 - Sep 2023,289856,8.21
819,Yama no Susume Third Season,13,Jul 2018 - Sep 2018,25934,7.59
1656,Daisougen no Chiisana Tenshi: Bush Baby,40,Jan 1992 - Dec 1992,2937,7.18
2980,Kage kara Mamoru!,12,Jan 2006 - Mar 2006,26351,6.58
1587,Fate/kaleid liner Prisma☆Illya 2wei!,10,Jul 2014 - Sep 2014,163052,7.21
3406,Hamster Club,140,Oct 2000 - Mar 2001,1091,6.39
566,Last Exile,26,Apr 2003 - Sep 2003,173692,7.79
1759,Nils no Fushigi na Tabi,52,Jan 1980 - Mar 1981,6966,7.15
3048,"Maou-sama, Retry!",12,Jul 2019 - Sep 2019,242039,6.55
775,White Album 2,13,Oct 2013 - Dec 2013,244648,7.61
1807,Battle Spirits: Brave,50,Sep 2010 - Sep 2011,4311,7.13
216,Trigun,26,Apr 1998 - Sep 1998,752733,8.22
2784,Marginal#4: Kiss kara Tsukuru Big Bang,12,Jan 2017 - Mar 2017,16563,6.66
2075,Metal Fight Beyblade 4D,52,Apr 2011 - Apr 2012,47520,7.01
4427,WIXOSS Diva(A)Live,12,Jan 2021 - Mar 2021,10683,5.58
3577,Tian Xin Ge Ge,52,Oct 2011 - Nov 2011,482,6.3
4644,Chou Henshin Cosprayers,8,Jan 2004 - Mar 2004,8824,4.81
3366,Digimon Xros Wars: Toki wo Kakeru Shounen Hunter-tachi,25,Oct 2011 - Mar 2012,26499,6.41
2366,Gegege no Kitarou (2007),100,Apr 2007 - Mar 2009,5707,6.86
344,Lovely★Complex,24,Apr 2007 - Sep 2007,583314,8.03
4675,Chou Futsuu Toshi Kashiwa Densetsu R,10,Jul 2020 - Sep 2020,4891,4.46
2014,Lost Universe,26,Apr 1998 - Sep 1998,17191,7.03
2300,Occultic;Nine,12,Oct 2016 - Dec 2016,193922,6.89
3855,Rerere no Tensai Bakabon,24,Oct 1999 - Mar 2000,822,6.12
304,Boku no Hero Academia 2nd Season,25,Apr 2017 - Sep 2017,2485919,8.09
1513,Slayers Revolution,13,Jul 2008 - Sep 2008,37399,7.24
3871,Mini Toji,10,Jan 2019 - Mar 2019,6358,6.11
1627,Sword Art Online,25,Jul 2012 - Dec 2012,3035003,7.2
3266,Senyoku no Sigrdrifa,12,Oct 2020 - Dec 2020,45204,6.45
3854,Play Ball 2nd,13,Jan 2006 - Mar 2006,648,6.12
1635,Wagaya no Oinari-sama.,24,Apr 2008 - Sep 2008,32527,7.19
4134,MonHun Nikki Girigiri Airou Mura: Airou Kiki Ippatsu,10,Aug 2010 - Oct 2010,1376,5.9
4234,Kabatotto,300,Jan 1971 - Sep 1972,838,5.82
1320,Black Cat (TV),23,Oct 2005 - Mar 2006,268933,7.32
2705,Seigi wo Aisuru Mono Gekkou Kamen,39,Jan 1972 - Oct 1972,1131,6.7
41,Boku no Kokoro no Yabai Yatsu Season 2,13,Jan 2024 -,101937,8.71
596,Ghost Hunt,25,Oct 2006 - Mar 2007,229405,7.76
2143,Kachou Ouji,13,Jul 1999 - Oct 1999,31294,6.97
4020,Hangyakusei Million Arthur,10,Oct 2018 - Dec 2018,39609,6.0
1155,Tamako Market,12,Jan 2013 - Mar 2013,421091,7.4
253,Dragon Ball Z,291,Apr 1989 - Jan 1996,1210438,8.17
2728,Grenadier: Hohoemi no Senshi,12,Oct 2004 - Jan 2005,55591,6.69
2036,Shakunetsu Kabaddi,12,Apr 2021 - Jun 2021,100007,7.02
2807,Time Bokan Series: Yatterman,108,Jan 1977 - Jan 1979,5243,6.66
1962,Aikatsu on Parade!,25,Oct 2019 - Mar 2020,6031,7.05
3501,Nyanbo!,26,Sep 2016 - Mar 2017,6521,6.33
2893,Chousoku Spinner,22,Nov 1998 - Sep 1999,5747,6.62
1229,Dakaretai Otoko 1-i ni Odosarete Imasu.,13,Oct 2018 - Dec 2018,156094,7.37
391,Akagami no Shirayuki-hime 2nd Season,12,Jan 2016 - Mar 2016,355888,7.97
3278,"Sokushi Cheat ga Saikyou sugite, Isekai no Yatsura ga Marude Aite ni Naranai n desu ga.",12,Jan 2024 -,66706,6.44
1390,Solty Rei,24,Oct 2005 - Mar 2006,30101,7.28
3182,Entaku no Kishi Monogatari: Moero Arthur,30,Sep 1979 - Mar 1980,1822,6.5
4398,Chaos Dragon: Sekiryuu Seneki,12,Jul 2015 - Sep 2015,109439,5.62
3320,Koneko no Chi: Ponponra Dairyokou,25,Apr 2018 - Sep 2018,2568,6.43
364,Toaru Kagaku no Railgun S,24,Apr 2013 - Sep 2013,385191,8.01
765,Blood+,50,Oct 2005 - Sep 2006,374323,7.62
375,Clannad,23,Oct 2007 - Mar 2008,1401677,7.99
328,City Hunter 2,63,Apr 1988 - Jul 1989,26566,8.06
560,Watashi no Shiawase na Kekkon,12,Jul 2023 - Sep 2023,247444,7.8
3676,Haiyoru! Nyaruani: Remember My Love(craft-sensei),11,Dec 2010 - Feb 2011,29013,6.24
1374,Noir,26,Apr 2001 - Sep 2001,112906,7.29
3204,Kawaikereba Hentai demo Suki ni Natte Kuremasu ka?,12,Jul 2019 - Sep 2019,320020,6.49
1178,Taiho Shichau zo: Second Season,26,Apr 2001 - Sep 2001,11104,7.39
1880,Hidamari no Ki,25,Apr 2000 - Sep 2000,4370,7.09
2975,Gift: Eternal Rainbow,12,Oct 2006 - Dec 2006,31684,6.58
1120,Tokyo Ravens,24,Oct 2013 - Mar 2014,484229,7.42
2917,Recorder to Randoseru Mi☆,12,Jul 2013 - Sep 2013,23450,6.61
195,Nodame Cantabile,23,Jan 2007 - Jun 2007,312699,8.26
3038,Future Card Buddyfight Battsu,52,Apr 2017 - Mar 2018,4442,6.55
4665,Musashino!,12,Jul 2022 - Sep 2022,10189,4.66
862,Pretty Rhythm: Rainbow Live,51,Apr 2013 - Mar 2014,13247,7.56
1,Fullmetal Alchemist: Brotherhood,64,Apr 2009 - Jul 2010,3292928,9.09
3037,Eternal Boys,24,Oct 2022 - Mar 2023,13873,6.55
1971,Trinity Seven,12,Oct 2014 - Dec 2014,832171,7.05
1500,Bosco Daibouken,26,Oct 1986 - Mar 1987,2035,7.24
3713,Obake no Q-tarou (1985),510,Apr 1985 - Mar 1987,719,6.22
4293,Urahara,12,Oct 2017 - Dec 2017,35582,5.76
2854,Miyuki,37,Mar 1983 - Apr 1984,4323,6.63
2888,Samurai Giants,46,Oct 1973 - Sep 1974,1506,6.62
2904,Dagashi Kashi,12,Jan 2016 - Apr 2016,451983,6.61
3473,Manga Hajimete Omoshiro Juku,110,Feb 1989 - Apr 1991,523,6.35
4004,Doushitemo Eto ni Hairitai,13,Oct 2015 - Jan 2016,579,6.01
301,Zankyou no Terror,11,Jul 2014 - Sep 2014,1153675,8.09
454,Yuri!!! on Ice,12,Oct 2016 - Dec 2016,875694,7.9
2288,Sengoku Youko,37,Jan 2024 -,30024,6.9
2818,Nyanpire The Animation,12,Jul 2011 - Sep 2011,28209,6.65
581,Digimon Adventure,54,Mar 1999 - Mar 2000,398464,7.77
1592,Souten Kouro,26,Apr 2009 - Sep 2009,18939,7.21
2449,Mugen no Juunin,13,Jul 2008 - Dec 2008,68501,6.82
2397,Chou Denji Robo Combattler V,54,Apr 1976 - May 1977,3844,6.84
3833,Isekai wa Smartphone to Tomo ni.,12,Jul 2017 - Sep 2017,554648,6.14
234,Major S2,26,Dec 2005 - Jun 2006,71312,8.19
1411,Air,12,Jan 2005 - Mar 2005,296777,7.28
3408,Happy Seven: The TV Manga,13,Oct 2005 - Dec 2005,5695,6.39
2688,Asu no Yoichi!,12,Jan 2009 - Mar 2009,206109,6.7
4638,Kaito x Ansa,12,Jul 2017 - Sep 2017,4114,4.91
1533,Mahoutsukai ni Taisetsu na Koto: Natsu no Sora,12,Jul 2008 - Sep 2008,27320,7.23
3916,Fushigi na Melmo,26,Oct 1971 - Mar 1972,1769,6.08
3376,Code-E,12,Jul 2007 - Sep 2007,18304,6.4
4369,Marvel Future Avengers,26,Jul 2017 - Jan 2018,4839,5.66
1798,Mahoromatic: Motto Utsukushii Mono,14,Sep 2002 - Jan 2003,32693,7.13
