Unnamed: 0,Name,Episodes,Release,Members,Score
3136,"Kono Naka ni Hitori, Imouto ga Iru!",12.0,Jul 2012 - Sep 2012,210409,6.51
370,Kaichou wa Maid-sama!,26.0,Apr 2010 - Sep 2010,1234732,8.0
2929,Ray The Animation,13.0,Apr 2006 - Jun 2006,14458,6.6
433,Hanamonogatari,5.0,Aug 2014 - Aug 2014,423968,7.92
4465,Agigongryong Doolie (1988),7.0,May 1988 - May 1988,503,5.5
889,Gugure! Kokkuri-san,12.0,Oct 2014 - Dec 2014,181695,7.55
3486,Hajime Ningen Gyatoruz,77.0,Oct 1974 - Mar 1976,904,6.34
417,Nurarihyon no Mago: Sennen Makyou,24.0,Jul 2011 - Dec 2011,162244,7.94
738,AKB0048: Next Stage,13.0,Jan 2013 - Mar 2013,36622,7.63
331,Dorohedoro,12.0,Jan 2020 - Mar 2020,536386,8.05
1094,Piano no Mori (TV) 2nd Season,12.0,Jan 2019 - Apr 2019,50614,7.43
86,Sora yori mo Tooi Basho,13.0,Jan 2018 - Mar 2018,496423,8.52
2435,Hakaima Sadamitsu,10.0,Jan 2001 - Mar 2001,5977,6.82
3763,Let's Nupu Nupu,16.0,Oct 1998 - Nov 1998,8053,6.18
2253,Endro~!,12.0,Jan 2019 - Mar 2019,75664,6.92
445,Ergo Proxy,23.0,Feb 2006 - Aug 2006,641142,7.9
456,Zetsuen no Tempest,24.0,Oct 2012 - Mar 2013,593337,7.9
2452,Kinsou no Vermeil: Gakeppuchi Majutsushi wa Saikyou no Yakusai to Mahou Sekai wo Tsukisusumu,12.0,Jul 2022 - Sep 2022,266803,6.81
1612,Ben-To,12.0,Oct 2011 - Dec 2011,325615,7.2
3223,DD Hokuto no Ken (2013),13.0,Apr 2013 - Jun 2013,4274,6.48
4451,W'z,13.0,Jan 2019 - Mar 2019,25909,5.53
939,Fushigi no Umi no Nadia,39.0,Apr 1990 - Apr 1991,67753,7.52
673,Keroro Gunsou,358.0,Apr 2004 - Apr 2011,76433,7.69
794,Hana yori Dango,51.0,Sep 1996 - Aug 1997,61639,7.6
3029,Happy☆Lucky Bikkuriman,46.0,Oct 2006 - Sep 2007,613,6.56
171,Diamond no Ace: Second Season,51.0,Apr 2015 - Mar 2016,136089,8.3
1146,Grimm Meisaku Gekijou,24.0,Oct 1987 - Mar 1988,4948,7.41
3542,Daisuki! Hello Kitty,26.0,Oct 1993 - Mar 1994,3034,6.31
3142,Persona: Trinity Soul,26.0,Jan 2008 - Jun 2008,82361,6.51
733,Ao Haru Ride,12.0,Jul 2014 - Sep 2014,916725,7.64
699,Chi's Sweet Home,104.0,Mar 2008 - Sep 2008,64236,7.67
2140,Dr. Slump,74.0,Nov 1997 - Sep 1999,18043,6.97
3331,Mission-E,12.0,Jul 2008 - Sep 2008,5962,6.42
1388,Zoku Touken Ranbu: Hanamaru,12.0,Jan 2018 - Mar 2018,29473,7.29
678,Seitokai Yakuindomo*,13.0,Jan 2014 - Mar 2014,253219,7.68
1378,Edens Zero,25.0,Apr 2021 - Oct 2021,248428,7.29
2913,Youkai Watch,214.0,Jan 2014 - Mar 2018,31723,6.61
3290,Paul no Miracle Daisakusen,50.0,Oct 1976 - Sep 1977,1155,6.44
3019,AI no Idenshi,12.0,Jul 2023 - Sep 2023,41695,6.56
3806,Alice Tantei Kyoku,56.0,Apr 1995 - Jan 1997,503,6.15
1504,Dororo to Hyakkimaru,26.0,Apr 1969 - Sep 1969,21139,7.24
2382,Hyakujuu-Ou GoLion,52.0,Mar 1981 - Feb 1982,12503,6.85
3504,Back Arrow,24.0,Jan 2021 - Jun 2021,40312,6.33
2338,Generator Gawl,12.0,Oct 1998 - Dec 1998,9746,6.87
1691,Naruto SD: Rock Lee no Seishun Full-Power Ninden,51.0,Apr 2012 - Mar 2013,97469,7.17
4670,Conception,12.0,Oct 2018 - Dec 2018,123674,4.6
3323,"Ore, Twintail ni Narimasu.",12.0,Oct 2014 - Dec 2014,158858,6.43
2421,Ginga Senpuu Braiger,39.0,Oct 1981 - Jun 1982,2633,6.83
394,Dragon Ball,153.0,Feb 1986 - Apr 1989,1023223,7.96
1306,Minami-ke Okawari,13.0,Jan 2008 - Mar 2008,72268,7.33
2570,Mamahaha no Tsurego ga Motokano datta,12.0,Jul 2022 - Sep 2022,275459,6.75
4338,Shounen Ashibe: Go! Go! Goma-chan 3,32.0,Apr 2018 - Feb 2019,823,5.69
1523,Masamune-kun no Revenge R,12.0,Jul 2023 - Sep 2023,186844,7.24
1309,Sengoku Basara,12.0,Apr 2009 - Jun 2009,160658,7.33
2458,Shinmai Maou no Testament Burst,10.0,Oct 2015 - Dec 2015,395315,6.81
1520,Kyoro-chan,91.0,Jul 1999 - Mar 2001,2952,7.24
1457,RideBack,12.0,Jan 2009 - Mar 2009,47777,7.26
150,Romeo no Aoi Sora,33.0,Jan 1995 - Dec 1995,49499,8.33
2830,Harukana Receive,12.0,Jul 2018 - Sep 2018,110184,6.65
2788,Night Wizard,13.0,Oct 2007 - Dec 2007,36495,6.66
2146,"Mix: Meisei Story 2nd Season - Nidome no Natsu, Sora no Mukou e",24.0,Apr 2023 - Sep 2023,7004,6.97
2892,Choujuushin Gravion Zwei,12.0,Jan 2004 - Mar 2004,9175,6.62
838,Ajin Part 2,13.0,Oct 2016 - Dec 2016,293353,7.57
1503,Cyborg 009 (1979),50.0,Mar 1979 - Mar 1980,10734,7.24
3199,Sinbi Apateu: Ghost Ball Bimil,24.0,Jul 2016 - Jan 2017,1627,6.49
1301,Tamayura: Hitotose,12.0,Oct 2011 - Dec 2011,47359,7.33
152,Tensei shitara Slime Datta Ken 2nd Season Part 2,12.0,Jul 2021 - Sep 2021,734259,8.33
556,Shadows House,13.0,Apr 2021 - Jul 2021,243189,7.8
904,Konjiki no Gash Bell!!,150.0,Apr 2003 - Mar 2006,125559,7.54
3996,Zhandou Wang Zhi Jufeng Zhan Hun 3,40.0,Sep 2015 - Oct 2015,714,6.02
4052,Maou Dante,13.0,Aug 2002 - Nov 2002,10692,5.97
1553,Tsundere Akuyaku Reijou Liselotte to Jikkyou no Endou-kun to Kaisetsu no Kobayashi-san,12.0,Jan 2023 - Mar 2023,85173,7.22
4013,Nurse Witch Komugi-chan R,12.0,Jan 2016 - Mar 2016,12993,6.01
2760,Fortune Arterial: Akai Yakusoku,12.0,Oct 2010 - Dec 2010,116483,6.67
1928,Last Exile: Ginyoku no Fam,21.0,Oct 2011 - Mar 2012,45692,7.07
332,Durarara!!x2 Ketsu,12.0,Jan 2016 - Mar 2016,375925,8.05
2766,Tensei Kizoku no Isekai Boukenroku: Jichou wo Shiranai Kamigami no Shito,12.0,Apr 2023 - Jun 2023,148841,6.67
3190,Captain (TV),26.0,Jan 1983 - Jul 1983,928,6.49
1743,Fantasy Bishoujo Juniku Ojisan to,12.0,Jan 2022 - Mar 2022,167738,7.15
1219,Mikakunin de Shinkoukei,12.0,Jan 2014 - Mar 2014,391735,7.37
1038,Senki Zesshou Symphogear G,13.0,Jul 2013 - Sep 2013,59408,7.46
2161,Shin Koihime†Musou: Otome Tairan,12.0,Mar 2010 - Jun 2010,20916,6.96
4325,Lime-iro Ryuukitan X,13.0,Jan 2005 - Mar 2005,4875,5.71
1543,Fuujin Monogatari,13.0,Sep 2004 - Feb 2005,18994,7.23
3755,Manyuu Hikenchou,12.0,Jul 2011 - Sep 2011,79199,6.19
3975,Mirai Kara Kita Shounen Super Jetter,52.0,Jan 1965 - Jan 1966,673,6.03
3417,Time Bokan Series: Yattodetaman,52.0,Feb 1981 - Feb 1982,2179,6.38
4490,Zhan Long Si Qu,64.0,2009 - 2009,574,5.47
107,Ore dake Level Up na Ken,12.0,Jan 2024 -,391493,8.45
